Question,Answer
What is a Confusion Matrix?,"A table that compares predicted vs. actual classifications, showing True Positives (TP), False Positives (FP), True Negatives (TN), and False Negatives (FN)."
What is a Lift Chart?,"A graphical tool measuring how much better a model performs compared to random guessing, often used in marketing campaigns."
What is an ROC Curve?,"A plot of True Positive Rate (TPR) vs. False Positive Rate (FPR) at different classification thresholds, showing model performance."
What does AUC (Area Under Curve) represent?,AUC quantifies the ROC curve’s performance. A higher AUC (closer to 1) means better class separation.
Define Sensitivity (Recall).,"Sensitivity = TP / (TP + FN). Measures how well the model detects actual positives (e.g., spam emails)."
What is Specificity?,"Specificity = TN / (TN + FP). Measures how well the model identifies actual negatives (e.g., non-spam emails)."
What is Precision?,Precision = TP / (TP + FP). Indicates the accuracy of positive predictions.
What is the F1 Score?,The harmonic mean of Precision and Recall (F1 = 2 * (Precision * Recall) / (Precision + Recall)). Balances both metrics.
How is Accuracy calculated?,Accuracy = (TP + TN) / (TP + FP + TN + FN). Measures overall correct predictions.
Which tools evaluate classification models?,"Confusion Matrix, Lift Charts, ROC Curves, and AUC are key tools for assessing model quality."
When should you use an ROC Curve?,"When comparing models or selecting optimal classification thresholds (e.g., cancer screening)."
Why is AUC preferred for imbalanced datasets?," AUC evaluates performance across all thresholds, unlike accuracy, which can be skewed by class imbalance."
How do you interpret a high F1 Score?,"A high F1 Score (close to 1) means the model balances Precision and Recall well, ideal for uneven class distributions."
What does a 80% TPR and 20% FPR on an ROC curve imply?,The model correctly identifies 80% of positives but misclassifies 20% of negatives as positives.
How to choose a threshold using an ROC Curve?,"Select the threshold where TPR is high and FPR is low (e.g., top-left corner of the curve)."
Why is a higher ROC Curve better?,"A curve closer to the top-left indicates superior class separation (higher TPR, lower FPR)."
What’s the trade-off between Precision and Recall?,"Increasing Recall (catching more positives) often reduces Precision (more false positives), and vice versa."
Can Accuracy be misleading? When?,"Yes, in imbalanced datasets (e.g., 95% non-spam emails), a model predicting ""not spam"" always would have 95% accuracy but fail to detect spam."
How does a Lift Chart improve decision-making?,"It identifies the top percentile of predictions most likely to be correct, optimizing resource allocation (e.g., targeting high-probability customers)."
What is the False Positive Rate (FPR) formula?,FPR = FP / (FP + TN). Measures the proportion of negatives incorrectly classified as positives.
How is True Negative Rate (TNR) related to Specificity?,"TNR = Specificity. Both calculate TN / (TN + FP), representing correct negative identifications."
"What is a ""perfect classifier"" in ROC terms?","A classifier with AUC = 1.0, where TPR = 100% and FPR = 0% at all thresholds."
"Define ""threshold"" in classification.","The cutoff probability (e.g., 0.5) to assign a class label. Adjusting it trades off TPR and FPR."
"If a spam filter has Precision=0.9 and Recall=0.5, what does this imply?",It rarely flags non-spam as spam (high Precision) but misses half the actual spam (low Recall).
Why might a medical test prioritize Recall over Precision?,Missing a disease (False Negative) is riskier than a false alarm (False Positive) in diagnostics.
How would a Lift Chart look for a random model?,"A diagonal line (no lift). A good model’s curve rises sharply, showing higher-than-random performance."
"In the cancer screening example, what does a threshold of 0.9 imply?","Only cases with ≥90% cancer probability are flagged, reducing FPs but potentially increasing FNs."
Why is AUC invariant to class imbalance?,"It evaluates TPR/FPR across all thresholds, unlike accuracy, which depends on class distribution."
"What does a ""steep"" ROC curve indicate?","Rapid gain in TPR with minimal FPR increase, suggesting strong early classification performance."
How does Boosting affect ROC curves compared to Bagging?,"Boosting often achieves higher AUC by sequentially correcting errors, while Bagging reduces variance."
